gender,school,inc_aframer,inc_amerind,inc_asian,inc_hisp,inc_white,inc_total
Female,Patapsco Elementary/Middle,3,0,0,0,0,3
Female,Patterson High,68,0,0,0,5,73
Female,Patterson Park Public Charter School,11,0,0,0,0,11
Female,Paul Laurence Dunbar High,27,0,0,0,0,27
Female,Pimlico Elementary/Middle,18,0,0,0,0,18
Female,Reginald F. Lewis High School,10,0,0,0,0,10
Female,Renaissance Academy High,43,0,0,0,0,43
Female,Rognel Heights Elementary/Middle,16,0,0,0,0,16
Female,Roland Park Elementary/Middle,7,0,0,0,5,12
Female,Rosemont Elem/Middle,5,0,0,0,0,5
Female,Southside Academy,4,0,0,0,0,4
Female,Southwest Baltimore Charter School,22,0,0,0,0,22
Female,Stadium School Middle,25,0,0,0,0,25
Female,Tench Tilghman Elem/Middle,4,0,0,0,0,4
Female,The Crossroads School,11,0,0,0,0,11
Female,The Mount Washington School,10,0,0,0,0,10
Female,The REACH! Partnership School,119,2,0,0,0,121
Female,Thomas Jefferson Elementary/Middle,7,0,0,0,0,7
Female,Thomas Johnson Elem/Middle,0,0,0,0,1,1
Female,Vanguard Collegiate Middle School,21,0,0,0,0,21
Female,Violetville Elementary/Middle,5,0,0,3,7,15
Female,Vivien T. Thomas Medical Arts Academy,202,0,0,0,1,203
Female,W.E.B. DuBois High,11,0,0,0,0,11
Female,Walter P. Carter Elementary/Middle,9,0,0,0,0,9
Female,Waverly Elem/Middle,3,0,0,0,0,3
Female,Western High,63,0,0,0,6,69
Female,Westport Academy,17,0,0,0,0,17
Female,William C. March Middle,44,0,0,0,0,44
Female,William Pinderhughes Elem/Middle,12,0,0,0,0,12
Female,Windsor Hills Elem/Middle,18,2,0,0,0,20
Female,Woodhome Elementary/Middle,17,0,0,0,0,17
Male,Academy for College and Career Exploration,104,0,1,0,2,107
Male,Achievement Academy @ Harbor City High,15,0,0,0,0,15
Male,Afya Public Charter School,26,0,0,0,0,26
Male,Arlington Elementary/Middle,32,0,0,4,1,37
Male,Armistead Gardens Elementary/Middle,0,0,0,0,7,7
Male,Arundel Elementary/Middle,70,0,0,0,0,70
Male,Augusta Fells Savage Institute of Visual Arts High,20,0,0,0,0,20
Male,Baltimore Antioch Diploma Plus High School,44,0,0,0,0,44
Male,Baltimore City College,25,0,0,0,3,28
Male,Baltimore Civitas Middle/High,19,0,0,1,0,20
Male,Baltimore Community High School,10,0,0,2,0,12
Male,Baltimore Design School,13,0,0,0,0,13
Male,Baltimore Freedom Academy,71,0,0,0,0,71
Male,Baltimore International Academy,1,0,0,0,0,1
Male,Baltimore IT Academy,58,1,0,0,0,59
Male,Baltimore Liberation Diploma Plus High School,8,0,0,0,8,16
Male,Baltimore Montessori Public Charter Middle School,1,0,0,0,0,1
Male,Baltimore Polytechnic Institute,16,0,0,0,0,16
Male,Baltimore Rising Star Academy@Laurence G. Paquin,110,0,0,0,0,110
Male,Baltimore School for the Arts,1,0,0,0,0,1
Male,Baltimore Talent Development High,46,0,0,0,0,46
Male,Barclay Elementary/Middle,4,0,0,0,0,4
Male,Bay-Brook Elementary/Middle,21,0,0,0,0,21
Male,Beechfield Elementary/Middle,35,0,0,0,0,35
Male,Benjamin Franklin High at Masonville Cove,56,0,0,3,7,66
Male,Bluford Drew Jemison STEM Academy Middle,86,0,0,0,1,87
Male,Bluford Drew Jemison STEM Academy West,29,0,0,0,0,29
Male,Booker T. Washington Middle,194,0,0,0,0,194
Male,Calverton Elementary/Middle,31,0,0,0,0,31
Male,Carver Vocational-Technical High,69,0,0,0,0,69
Male,Cherry Hill Elementary/Middle,22,0,0,0,0,22
Male,City Neighbors Charter School,1,0,0,0,1,2
Male,City Neighbors Hamilton,0,0,0,0,2,2
Male,City Neighbors High School,49,0,0,0,3,52
Male,City Springs Elem/Middle,5,0,0,0,0,5
Male,Coldstream Park Elem/Middle,16,0,0,0,0,16
Male,Collington Square Elem/Middle,32,0,0,0,0,32
Male,Commodore John Rodgers Elem/Middle,42,0,0,3,0,45
Male,ConneXions: A Community Based Arts School,28,0,0,0,0,28
Male,Coppin Academy,2,0,0,0,0,2
Male,Cross Country Elementary/Middle,7,0,0,0,0,7
Male,Curtis Bay Elementary/Middle,41,3,0,0,11,55
Male,Dickey Hill Elementary/Middle,18,0,0,0,0,18
Male,Digital Harbor High School,207,1,1,5,14,228
Male,Dr. Carter Godwin Woodson,6,0,0,1,0,7
Male,"Dr. Martin Luther King, Jr. Elementary/Middle",2,0,0,0,0,2
Male,Dr. Nathan A. Pitts-Ashburton Elementary/Middle,33,0,0,0,0,33
Male,Dr. Rayner Browne Elem/Middle,13,0,0,0,0,13
Male,Edgecombe Circle Elem/Middle,25,0,0,0,0,25
Male,Edmondson-Westside High,72,0,0,0,0,72
Male,Elmer A. Henderson: A Johns Hopkins Partnership,5,0,0,0,0,5
Male,Empowerment Academy,9,0,0,0,0,9
Male,Excel Academy @ Francis M. Wood High,22,0,0,0,0,22
Male,Fallstaff Elementary/Middle,42,0,0,0,0,42
Male,Forest Park High,79,0,0,0,0,79
Male,Francis Scott Key Elementary/Middle,116,0,2,0,1,119
Male,Franklin Square Elem/Middle,37,0,0,0,0,37
Male,Frederick Douglass High,110,0,0,0,0,110
Male,Friendship Academy of Engineering and Technology,67,0,0,0,2,69
Male,Friendship Academy of Science and Technology,120,0,0,4,2,126
Male,Garrett Heights Elementary/Middle,16,0,0,0,0,16
Male,Garrison Middle,82,0,0,0,0,82
Male,George W. F. McMechen,1,0,0,0,0,1
Male,Glenmount Elementary/Middle,41,0,3,0,0,44
Male,Green Street Academy,20,0,0,0,0,20
Male,Grove Park Elementary/Middle,44,0,0,0,0,44
Male,Guilford Elementary/Middle,8,0,0,0,0,8
Male,Hamilton Elementary/Middle,39,0,0,0,3,42
Male,Hampden Elem/Middle,0,0,0,0,4,4
Male,Hampstead Hill Academy Elem/Middle,17,0,0,1,5,23
Male,Harlem Park Elem/Middle,44,0,0,0,0,44
Male,Hazelwood Elementary/Middle,31,0,0,1,0,32
Male,Heritage High School,99,0,0,0,0,99
Male,Highlandtown Elementary/Middle #215,17,0,0,4,1,22
Male,Highlandtown Elementary/Middle #237,7,0,0,0,5,12
Male,Holabird Elementary/Middle,5,0,0,0,1,6
Male,Independence School Local I,3,0,0,0,0,3
Male,Inner Harbor East Academy,3,0,0,0,0,3
Male,James McHenry Elem/Middle,87,0,0,0,3,90
Male,John Ruhrah Elementary/Middle,1,0,0,1,16,18
Male,K.I.P.P. Ujima Village Academy,69,0,0,0,0,69
Male,KASA (Knowledge and Success Academy),101,3,0,0,5,109
Male,Lakeland Elementary/Middle,29,0,0,3,7,39
Male,Maree G. Farring Elementary/Middle,26,0,0,0,5,31
Male,Margaret Brent Elem/Middle,5,0,0,0,0,5
Male,Maritime Industries Academy High,77,0,0,0,1,78
Male,MD Academy of Technology and Health Sciences,12,0,0,0,0,12
Male,Mergenthaler Vocational-Technical High,208,0,0,0,11,219
Male,Midtown Academy,5,0,0,0,0,5
Male,Montebello Elementary/Middle,37,0,0,0,0,37
Male,Morrell Park Elementary/Middle,10,0,0,0,12,22
Male,Mount Royal Elementary/Middle,14,0,0,0,0,14
