"BLDG_NUM,N,19,11","PRG__NUM,N,19,11","NAME,C,254","GRADES,C,254","ADDRESS,C,254","ZIPCODE,C,254","CATEGORY,C,254","TYPE,C,254","x_1,N,19,11","y_1,N,19,11",,Match Y/N,Match Type,Matched Address,Tiger Line ID,Tiger Side,Longitude,Latitude
181.00000000000,422.00000000000,New Era Academy,"6-7, 9 - 12.",2700 Seamon Avenue,21225,TS,TS,1419615.97607000000,577890.15713500000,,Match,Exact,"2700 Seamon Ave, BALTIMORE, MD, 21225",206466603,R,-76.62056,39.253723
57.00000000000,423.00000000000,Baltimore Freedom Academy,6 - 12,1601 E. Lombard Street,21231,Charter,Charter,1426584.53989000000,591444.17759900000,,Match,Exact,"1601 E Lombard St, BALTIMORE, MD, 21231",206424470,R,-76.59562,39.290314
40.00000000000,425.00000000000,Heritage,"Pre-K, 9 - 12",2801 Saint Lo Drive,21213,HS,Traditional,1429747.65988000000,601798.01614400000,,Match,Exact,"2801 St Lo Dr, BALTIMORE, MD, 21213",206457773,L,-76.58759,39.31928
56.00000000000,427.00000000000,Academy For College and Career Exploration,"6, 9 - 12.",1300 W. 36th Street,21211,TS,TS,1414822.33737000000,606306.10522500000,,Match,Exact,"1300 W 36th St, BALTIMORE, MD, 21211",206464618,R,-76.63652,39.330593
78.00000000000,428.00000000000,Baltimore Talent Development,9 - 12.,1500 Harlem Avenue,21217,HS,Innovation HS,1413483.90599000000,594022.90406900000,,Match,Exact,"1500 Harlem Ave, BALTIMORE, MD, 21217",206416399,R,-76.643654,39.296543
178.00000000000,429.00000000000,Vivien T. Thomas Medical Arts Academy,9 - 12.,100 N. Calhoun Street,21223,HS,Traditional,1414237.10789000000,591484.25297900000,,Match,Exact,"100 N Calhoun St, BALTIMORE, MD, 21223",206417501,L,-76.63966,39.28977
78.00000000000,430.00000000000,Augusta Fells Savage Institute of Visual Arts,9 - 12.,1500 Harlem Avenue,21217,HS,Traditional,1413483.90599000000,594022.90406900000,,Match,Exact,"1500 Harlem Ave, BALTIMORE, MD, 21217",206416399,R,-76.643654,39.296543
170.00000000000,431.00000000000,Maritime Industries Academy,9 - 12.,5001 Sinclair Lane,21217,HS,Traditional,1440763.15687000000,602617.20938700000,,No_Match,,,,,,
432.00000000000,432.00000000000,Coppin Academy,9 - 12.,2500 W. North Avenue,21216,Charter,Charter,1408887.16092000000,598655.08214100000,,Match,Exact,"2500 W North Ave, BALTIMORE, MD, 21216",206464495,R,-76.65725,39.30948
130.00000000000,433.00000000000,Renaissance Academy,9 - 12.,1301 McCulloh Street,21217,HS,Innovation HS,1417641.19393000000,596121.11509600000,,Match,Exact,"1301 McCulloh St, BALTIMORE, MD, 21217",206417107,R,-76.627815,39.30263
79.00000000000,435.00000000000,Institute of Business and Entrepreneurship,9 - 12.,2801 N. Dukeland Street,21216,HS,Traditional,1407306.76185000000,601539.21876100000,,Match,Exact,"2801 N Dukeland St, BALTIMORE, MD, 21216",206442823,R,-76.66522,39.32158
450.00000000000,450.00000000000,Frederick Douglass,9 - 12.,2301 Gwynns Falls Parkway,21217,HS,Traditional,1409939.87010000000,600432.04545000000,,Match,Exact,"2301 Gwynns Falls Pkwy, BALTIMORE, MD, 21217",206464508,L,-76.65469,39.315495
454.00000000000,454.00000000000,Carver Vocational Technical,9 - 12.,2201 W Presstman Street,21216,HS,Entrance Crit,1410677.87190000000,596751.78968800000,,Match,Non_Exact,"2201 Presstman St, BALTIMORE, MD, 21217",206414537,L,-76.65252,39.305058
480.00000000000,480.00000000000,Baltimore City College,9 - 12.,3220 The Alameda,21218,HS,Entrance Crit,1426345.11616000000,604464.30510200000,,Match,Exact,"3220 The Alameda, BALTIMORE, MD, 21218",206441992,L,-76.59489,39.327347
