district_name,state,district_id,rate_all,rate_ind,rate_asian,rate_pacis,rate_black,rate_latino,rate_white,m_rate_all,m_rate_ind,m_rate_asian,m_rate_pacis,m_rate_black,m_rate_latino,m_rate_white,f_rate_all,f_rate_ind,f_rate_asian,f_rate_pacis,f_rate_black,f_rate_latino,f_rate_white,cnt_all,cnt_ind,cnt_asian,cnt_pacis,cnt_black,cnt_latino,cnt_white,m_cnt_all,m_cnt_ind,m_cnt_asian,m_cnt_pacis,m_cnt_black,m_cnt_latino,m_cnt_white,f_cnt_all,f_cnt_ind,f_cnt_asian,f_cnt_pacis,f_cnt_black,f_cnt_latino,f_cnt_white
ANCHORAGE SCHOOL DISTRICT,AK,0200180,2.15%,3.15%,1.00%,2.49%,5.35%,1.98%,1.52%,3.39%,5.24%,1.54%,3.42%,8.02%,3.05%,2.52%,0.80%,0.93%,0.41%,0.81%,2.56%,0.77%,0.39%,535,70,25,30,85,55,165,440,60,20,20,65,45,145,95,10,5,5,20,10,20
ANNETTE ISLAND SCHOOL DISTRICT,AK,0200525,0.00%,0.00%,,0.00%,,,,0.00%,0.00%,,,,,,0.00%,0.00%,,0.00%,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRISTOL BAY BOROUGH SCHOOL DISTRICT,AK,0200030,6.25%,9.09%,0.00%,,,,20.00%,12.50%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
COPPER RIVER SCHOOL DISTRICT,AK,0200070,0.00%,0.00%,,0.00%,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORDOVA CITY SCHOOL DISTRICT,AK,0200060,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRAIG CITY SCHOOL DISTRICT,AK,0200090,2.78%,0.00%,,,,0.00%,0.00%,5.26%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA/GREELY SCHOOL DISTRICT,AK,0200100,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DILLINGHAM CITY SCHOOL DISTRICT,AK,0200120,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT,AK,0200600,2.08%,2.33%,0.00%,0.00%,3.33%,2.61%,1.95%,3.38%,3.45%,0.00%,0.00%,6.67%,3.33%,3.32%,0.71%,1.18%,0.00%,0.00%,2.22%,1.82%,0.47%,150,20,0,0,15,15,85,125,15,0,0,15,10,75,25,5,0,0,5,5,10
GALENA CITY SCHOOL DISTRICT,AK,0200130,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAINES BOROUGH SCHOOL DISTRICT,AK,0200270,0.00%,,,,,,0.00%,0.00%,,,,,,0.00%,0.00%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOONAH CITY SCHOOL DISTRICT,AK,0200300,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,,0.00%,0.00%,,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUNEAU BOROUGH SCHOOL DISTRICT,AK,0200210,1.28%,1.09%,0.00%,0.00%,0.00%,0.00%,1.28%,2.05%,2.13%,0.00%,0.00%,0.00%,0.00%,2.44%,0.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.90%,30,5,0,0,0,0,15,25,5,0,0,0,0,15,5,0,0,0,0,0,5
KENAI PENINSULA BOROUGH SCHOOL DISTRICT,AK,0200390,3.08%,4.48%,0.00%,25.00%,0.00%,3.57%,2.93%,4.83%,6.06%,0.00%,50.00%,0.00%,7.69%,4.17%,1.17%,2.86%,0.00%,0.00%,0.00%,0.00%,1.16%,110,15,0,5,0,5,80,90,10,0,5,0,5,60,20,5,0,0,0,0,15
KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT,AK,0200150,1.44%,1.41%,0.00%,,0.00%,0.00%,0.94%,1.83%,2.78%,0.00%,,0.00%,0.00%,1.85%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,15,5,0,0,0,0,5,10,5,0,0,0,0,5,0,0,0,0,0,0,0
KODIAK ISLAND BOROUGH SCHOOL DISTRICT,AK,0200480,0.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.94%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
KUSPUK SCHOOL DISTRICT,AK,0200760,6.90%,7.14%,,,,,0.00%,12.50%,13.33%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,10,10,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
LOWER KUSKOKWIM SCHOOL DISTRICT,AK,0200001,3.55%,4.14%,0.00%,,0.00%,0.00%,0.00%,5.68%,6.58%,0.00%,,0.00%,0.00%,0.00%,1.23%,1.45%,0.00%,,0.00%,0.00%,0.00%,30,30,0,0,0,0,0,25,25,0,0,0,0,0,5,5,0,0,0,0,0
MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,AK,0200510,1.53%,1.27%,0.00%,0.00%,0.00%,0.00%,1.78%,2.21%,1.59%,0.00%,0.00%,0.00%,0.00%,2.62%,0.77%,0.90%,0.00%,0.00%,0.00%,0.00%,0.84%,105,15,0,0,0,0,90,80,10,0,0,0,0,70,25,5,0,0,0,0,20
NOME PUBLIC SCHOOLS,AK,0200570,2.53%,3.23%,0.00%,,,0.00%,0.00%,5.13%,6.25%,,,,,0.00%,2.56%,3.33%,0.00%,,,,0.00%,10,10,0,0,0,0,0,10,10,0,0,0,0,0,5,5,0,0,0,0,0
NORTH SLOPE BOROUGH SCHOOL DISTRICT,AK,0200610,7.75%,10.34%,0.00%,0.00%,0.00%,,20.00%,11.94%,15.56%,0.00%,0.00%,0.00%,,0.00%,3.23%,2.38%,0.00%,0.00%,,,0.00%,50,45,0,0,0,0,5,40,35,0,0,0,0,0,10,5,0,0,0,0,0
NORTHWEST ARCTIC BOROUGH SCHOOL DISTRICT,AK,0200625,3.90%,4.41%,,,0.00%,,0.00%,7.50%,5.88%,,,0.00%,,0.00%,0.00%,0.00%,,,,,0.00%,15,15,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0
PETERSBURG CITY SCHOOL DISTRICT,AK,0200660,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SITKA SCHOOL DISTRICT,AK,0200240,0.72%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNALASKA CITY SCHOOL DISTRICT,AK,0200720,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VALDEZ CITY SCHOOL DISTRICT,AK,0200780,7.46%,7.69%,0.00%,0.00%,,0.00%,8.89%,13.89%,12.50%,,0.00%,,0.00%,16.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,25,5,0,0,0,0,20,25,5,0,0,0,0,20,0,0,0,0,0,0,0
WRANGELL PUBLIC SCHOOL DISTRICT,AK,0200810,3.70%,0.00%,0.00%,,,,0.00%,6.67%,0.00%,,,,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBERTVILLE CITY,AL,0100005,1.79%,,0.00%,,0.00%,0.95%,2.20%,3.14%,,0.00%,,0.00%,1.85%,3.65%,0.40%,,0.00%,,0.00%,0.00%,0.74%,45,0,0,0,0,10,30,40,0,0,0,0,10,25,5,0,0,0,0,0,5
ALEXANDER CITY,AL,0100030,2.72%,0.00%,0.00%,,4.65%,7.69%,1.11%,4.62%,,0.00%,,7.81%,12.50%,2.06%,0.63%,,0.00%,,1.54%,0.00%,0.00%,45,0,0,0,30,5,10,40,0,0,0,25,5,10,5,0,0,0,5,0,0
ANDALUSIA CITY,AL,0100060,0.61%,,0.00%,,0.00%,0.00%,0.00%,1.11%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNISTON CITY,AL,0100090,5.99%,,,,6.64%,0.00%,0.00%,9.15%,,,,10.08%,0.00%,0.00%,2.82%,,,,3.15%,0.00%,0.00%,85,0,0,0,85,0,0,65,0,0,0,65,0,0,20,0,0,0,20,0,0
ARAB CITY,AL,0100100,0.93%,,0.00%,0.00%,,0.00%,0.98%,1.82%,,0.00%,,,0.00%,1.89%,0.00%,,0.00%,,,0.00%,0.00%,10,0,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0
ATHENS CITY,AL,0100120,2.78%,0.00%,0.00%,,8.05%,2.00%,1.40%,4.89%,0.00%,0.00%,,14.63%,3.70%,2.68%,0.57%,,0.00%,,2.22%,0.00%,0.00%,50,0,0,0,35,5,15,45,0,0,0,30,5,15,5,0,0,0,5,0,0
ATTALLA CITY,AL,0100180,0.93%,,,,0.00%,0.00%,1.39%,1.96%,,,,0.00%,0.00%,2.86%,0.00%,,,,0.00%,0.00%,0.00%,5,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0
AUBURN CITY,AL,0100210,2.04%,0.00%,0.00%,,6.10%,5.00%,0.68%,3.14%,,0.00%,,9.30%,11.11%,1.34%,0.89%,,0.00%,,2.56%,0.00%,0.00%,70,0,0,0,50,5,15,55,0,0,0,40,5,15,15,0,0,0,10,0,0
AUTAUGA COUNTY,AL,0100240,1.64%,0.00%,0.00%,,3.72%,0.00%,1.04%,2.56%,,0.00%,,5.94%,0.00%,2.05%,0.45%,0.00%,0.00%,,2.30%,0.00%,0.30%,75,0,0,0,35,0,35,60,0,0,0,30,0,35,10,0,0,0,10,0,5
BALDWIN COUNTY PUBLIC SCHOOLS,AL,0100270,3.51%,0.00%,0.00%,0.00%,8.70%,4.29%,2.38%,5.27%,0.00%,0.00%,0.00%,12.21%,4.71%,3.82%,1.63%,0.00%,0.00%,0.00%,4.98%,2.56%,0.84%,510,0,0,0,180,35,265,395,0,0,0,130,20,220,115,0,0,0,50,10,45
BARBOUR COUNTY,AL,0100300,1.00%,,,,1.33%,0.00%,0.00%,1.89%,,,,2.44%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,5,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0
BESSEMER CITY,AL,0100330,2.98%,,,,3.22%,0.00%,0.00%,4.67%,,,,4.66%,0.00%,0.00%,1.62%,,,,1.74%,0.00%,0.00%,75,0,0,0,75,0,0,60,0,0,0,55,0,0,20,0,0,0,20,0,0
BIBB COUNTY,AL,0100360,1.44%,,0.00%,,3.39%,0.00%,1.43%,2.72%,,,,3.23%,0.00%,2.68%,0.00%,,,,0.00%,0.00%,0.00%,20,0,0,0,10,0,15,20,0,0,0,5,0,15,0,0,0,0,0,0,0
BIRMINGHAM CITY,AL,0100390,4.67%,0.00%,0.00%,,4.74%,2.73%,12.50%,7.24%,0.00%,0.00%,,7.32%,3.51%,23.08%,2.00%,,0.00%,,2.06%,0.00%,0.00%,475,0,0,0,445,15,15,375,0,0,0,350,10,15,100,0,0,0,95,0,0
BLOUNT COUNTY,AL,0100420,2.67%,0.00%,0.00%,,0.00%,1.22%,2.94%,4.72%,0.00%,,,0.00%,2.44%,5.15%,0.60%,,0.00%,,0.00%,0.00%,0.69%,90,0,0,0,0,5,85,80,0,0,0,0,5,75,10,0,0,0,0,0,10
BOAZ CITY,AL,0100012,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BREWTON CITY,AL,0100450,1.10%,,0.00%,,2.86%,0.00%,0.00%,2.22%,,,,5.88%,,0.00%,0.00%,,,,0.00%,0.00%,0.00%,5,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0
BULLOCK COUNTY,AL,0100480,0.97%,,,,1.11%,0.00%,0.00%,1.85%,,,,2.17%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,,5,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0
BUTLER COUNTY,AL,0100510,3.11%,,0.00%,,3.25%,0.00%,1.56%,4.59%,,0.00%,,4.35%,,2.78%,1.19%,,0.00%,,1.85%,,0.00%,30,0,0,0,20,0,5,25,0,0,0,15,0,5,5,0,0,0,5,0,0
CALHOUN COUNTY,AL,0100540,4.95%,0.00%,0.00%,0.00%,8.18%,4.35%,4.53%,7.69%,0.00%,0.00%,0.00%,14.29%,0.00%,7.00%,1.87%,0.00%,0.00%,0.00%,1.85%,0.00%,2.00%,225,0,0,0,45,5,170,185,0,0,0,40,0,140,40,0,0,0,5,0,35
CHAMBERS COUNTY,AL,0100600,3.13%,0.00%,0.00%,,5.00%,0.00%,1.68%,4.74%,,,,6.74%,0.00%,3.09%,1.24%,0.00%,0.00%,,2.82%,0.00%,0.00%,55,0,0,0,40,0,15,45,0,0,0,30,0,15,10,0,0,0,10,0,0
CHEROKEE COUNTY,AL,0100630,3.01%,0.00%,0.00%,,0.00%,0.00%,3.88%,5.80%,0.00%,,,0.00%,0.00%,5.66%,0.00%,0.00%,,,0.00%,0.00%,0.00%,20,0,0,0,0,0,20,20,0,0,0,0,0,15,0,0,0,0,0,0,0
CHILTON COUNTY,AL,0100660,3.12%,,0.00%,,6.56%,5.77%,2.17%,5.56%,,0.00%,,12.12%,12.00%,4.14%,0.46%,,0.00%,,0.00%,0.00%,0.65%,70,0,0,0,20,15,35,65,0,0,0,20,15,35,5,0,0,0,0,0,5
CHOCTAW COUNTY,AL,0100690,2.29%,0.00%,,0.00%,2.75%,0.00%,1.64%,4.35%,,,,5.66%,0.00%,2.78%,0.00%,,,,0.00%,,0.00%,20,0,0,0,15,0,5,20,0,0,0,15,0,5,0,0,0,0,0,0,0
CLARKE COUNTY,AL,0100720,3.41%,0.00%,0.00%,,5.03%,0.00%,1.01%,5.80%,0.00%,0.00%,,8.43%,0.00%,1.89%,0.80%,,,,1.32%,0.00%,0.00%,45,0,0,0,40,0,5,40,0,0,0,35,0,5,5,0,0,0,5,0,0
CLAY COUNTY,AL,0100750,3.33%,,0.00%,,7.69%,0.00%,2.56%,4.31%,,,,9.09%,0.00%,3.53%,2.13%,,,,5.88%,0.00%,1.41%,35,0,0,0,15,0,20,25,0,0,0,10,0,15,10,0,0,0,5,0,5
CLEBURNE COUNTY,AL,0100780,4.55%,,,,13.33%,0.00%,4.07%,6.92%,,,,12.50%,0.00%,5.88%,1.80%,,,,0.00%,0.00%,1.96%,55,0,0,0,10,0,45,45,0,0,0,5,0,35,10,0,0,0,0,0,10
COFFEE COUNTY,AL,0100810,1.45%,0.00%,,,0.00%,0.00%,1.69%,2.86%,,,,0.00%,0.00%,3.45%,0.00%,0.00%,,,0.00%,0.00%,0.00%,5,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0
COLBERT COUNTY SCHOOLS,AL,0100840,4.38%,0.00%,0.00%,,12.12%,0.00%,3.64%,6.96%,0.00%,,,17.65%,0.00%,5.34%,2.16%,,0.00%,,0.00%,0.00%,1.72%,65,0,0,0,20,0,45,55,0,0,0,15,0,35,15,0,0,0,0,0,10
CONECUH COUNTY,AL,0100870,6.52%,,,,7.14%,0.00%,0.00%,10.42%,,,,11.63%,,0.00%,2.27%,,,,2.44%,,0.00%,30,0,0,0,30,0,0,25,0,0,0,25,0,0,5,0,0,0,5,0,0
COOSA COUNTY,AL,0100900,1.11%,,,,2.56%,0.00%,0.00%,2.33%,,,,5.26%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,5,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0
COVINGTON COUNTY,AL,0100930,1.98%,,0.00%,,5.00%,0.00%,1.76%,3.03%,,,,9.09%,0.00%,3.36%,0.00%,,,,0.00%,0.00%,0.00%,25,0,0,0,5,0,20,20,0,0,0,5,0,20,0,0,0,0,0,0,0
CULLMAN CITY,AL,0100990,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CULLMAN COUNTY,AL,0101020,0.25%,0.00%,0.00%,,0.00%,0.00%,0.28%,0.47%,0.00%,0.00%,,0.00%,0.00%,0.52%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,10,0,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0
DALE COUNTY,AL,0101050,0.92%,0.00%,0.00%,0.00%,3.23%,0.00%,0.56%,1.80%,,,,6.67%,0.00%,1.08%,0.93%,,0.00%,0.00%,0.00%,0.00%,0.00%,10,0,0,0,5,0,5,10,0,0,0,5,0,5,5,0,0,0,0,0,0
DALEVILLE CITY,AL,0101080,4.39%,,0.00%,,4.88%,0.00%,5.00%,8.77%,,0.00%,,10.00%,0.00%,6.67%,1.75%,,,,0.00%,0.00%,0.00%,25,0,0,0,10,0,15,25,0,0,0,10,0,10,5,0,0,0,0,0,0
DALLAS COUNTY,AL,0101110,4.44%,,0.00%,,4.49%,0.00%,4.65%,6.99%,,0.00%,,6.47%,0.00%,6.82%,2.30%,,,,2.34%,0.00%,2.38%,80,0,0,0,60,0,20,65,0,0,0,45,0,15,20,0,0,0,15,0,5
DECATUR CITY,AL,0101170,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEKALB COUNTY,AL,0101140,0.98%,0.00%,,,0.00%,0.00%,1.30%,0.99%,0.00%,,,,0.00%,2.50%,0.97%,0.00%,,,0.00%,0.00%,0.00%,10,0,0,0,0,0,5,5,0,0,0,0,0,5,5,0,0,0,0,0,0
DEMOPOLIS CITY,AL,0101200,0.96%,,0.00%,,1.98%,0.00%,0.00%,1.82%,,0.00%,,4.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,10,0,0,0,10,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0
DOTHAN CITY,AL,0101230,5.91%,0.00%,0.00%,0.00%,9.60%,2.56%,1.92%,9.26%,0.00%,0.00%,0.00%,14.89%,5.00%,3.02%,2.08%,0.00%,0.00%,,3.80%,0.00%,0.61%,275,0,0,0,240,5,35,230,0,0,0,195,5,30,45,0,0,0,45,0,5
ELBA CITY,AL,0101260,6.94%,0.00%,,,10.34%,0.00%,5.71%,7.89%,0.00%,,,6.25%,0.00%,11.11%,5.88%,,,,7.69%,0.00%,0.00%,25,0,0,0,15,0,10,15,0,0,0,5,0,10,10,0,0,0,5,0,0
ELMORE COUNTY,AL,0101290,0.95%,0.00%,0.00%,0.00%,2.22%,0.00%,0.46%,1.25%,0.00%,0.00%,0.00%,2.54%,0.00%,0.91%,0.64%,0.00%,0.00%,,1.85%,0.00%,0.31%,45,0,0,0,25,0,15,30,0,0,0,15,0,15,15,0,0,0,10,0,5
ENTERPRISE CITY,AL,0101320,3.61%,0.00%,0.00%,0.00%,7.84%,2.56%,2.39%,5.19%,0.00%,0.00%,0.00%,8.64%,4.26%,4.19%,1.84%,0.00%,0.00%,,5.63%,0.00%,0.49%,125,0,0,0,60,10,50,95,0,0,0,35,10,45,30,0,0,0,20,0,5
ESCAMBIA COUNTY,AL,0101350,3.96%,3.85%,0.00%,,7.19%,0.00%,1.56%,5.98%,7.69%,,,11.27%,0.00%,3.06%,2.06%,0.00%,0.00%,,3.66%,0.00%,1.06%,75,5,0,0,55,0,15,55,5,0,0,40,0,15,20,0,0,0,15,0,5
ETOWAH COUNTY,AL,0101380,0.73%,0.00%,0.00%,,0.00%,0.00%,0.66%,0.98%,,0.00%,,0.00%,0.00%,1.04%,0.25%,0.00%,0.00%,,0.00%,0.00%,0.27%,30,0,0,0,0,0,25,20,0,0,0,0,0,20,5,0,0,0,0,0,5
EUFAULA CITY,AL,0101410,1.05%,,0.00%,,1.27%,0.00%,0.00%,1.39%,,0.00%,,2.53%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,15,0,0,0,10,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0
FAIRFIELD CITY,AL,0101440,0.00%,,,,0.00%,0.00%,,0.00%,,,,0.00%,0.00%,,0.00%,,,,0.00%,0.00%,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAYETTE COUNTY,AL,0101470,1.10%,,0.00%,,3.23%,0.00%,0.68%,2.04%,,0.00%,,5.56%,0.00%,1.30%,0.00%,,,,0.00%,,0.00%,10,0,0,0,5,0,5,10,0,0,0,5,0,5,0,0,0,0,0,0,0
FLORENCE CITY,AL,0101530,4.16%,0.00%,0.00%,,7.78%,0.00%,2.08%,6.55%,0.00%,0.00%,,12.20%,0.00%,3.33%,1.75%,0.00%,0.00%,,3.53%,0.00%,0.83%,95,0,0,0,65,0,25,75,0,0,0,50,0,20,20,0,0,0,15,0,5
FORT PAYNE CITY,AL,0101560,0.80%,,0.00%,,0.00%,0.00%,1.43%,1.55%,,,,0.00%,0.00%,2.67%,0.00%,,0.00%,,0.00%,0.00%,0.00%,10,0,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0
FRANKLIN COUNTY,AL,0101590,1.24%,,,,0.00%,0.00%,1.50%,2.70%,,,,,0.00%,3.33%,0.00%,,,,0.00%,0.00%,0.00%,10,0,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0
GADSDEN CITY,AL,0101620,2.77%,,0.00%,,4.56%,0.00%,1.74%,4.26%,,0.00%,,6.61%,0.00%,2.42%,1.16%,,0.00%,,2.52%,0.00%,0.00%,75,0,0,0,55,0,20,60,0,0,0,40,0,15,15,0,0,0,15,0,0
GENEVA CITY,AL,0101640,0.81%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENEVA COUNTY,AL,0101660,3.50%,0.00%,0.00%,,8.33%,0.00%,3.11%,5.19%,,,,11.76%,0.00%,4.81%,1.63%,,0.00%,,5.56%,0.00%,1.12%,45,0,0,0,15,0,30,35,0,0,0,10,0,25,10,0,0,0,5,0,5
GREENE COUNTY,AL,0101680,0.00%,,,,0.00%,,,0.00%,,,,0.00%,,,0.00%,,,,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUNTERSVILLE CITY,AL,0101690,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HALE COUNTY,AL,0101710,2.55%,,,,4.26%,0.00%,0.00%,4.27%,,,,7.14%,0.00%,0.00%,1.68%,,,,2.82%,0.00%,0.00%,30,0,0,0,30,0,0,25,0,0,0,25,0,0,10,0,0,0,10,0,0
HALEYVILLE CITY,AL,0101720,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARTSELLE CITY,AL,0101730,1.05%,,0.00%,,0.00%,0.00%,0.77%,1.32%,,0.00%,,0.00%,0.00%,1.46%,0.75%,,0.00%,,0.00%,0.00%,0.81%,15,0,0,0,0,0,10,10,0,0,0,0,0,10,5,0,0,0,0,0,5
HENRY COUNTY,AL,0101740,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMEWOOD CITY,AL,0101760,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOOVER CITY,AL,0100007,0.54%,0.00%,0.00%,0.00%,1.35%,0.00%,0.25%,1.03%,,0.00%,0.00%,2.63%,0.00%,0.48%,0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,35,0,0,0,20,0,10,35,0,0,0,20,0,10,5,0,0,0,0,0,0
HOUSTON COUNTY,AL,0101770,0.21%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.00%,0.00%,0.00%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUNTSVILLE CITY,AL,0101800,2.32%,0.00%,0.00%,10.00%,4.48%,1.12%,0.73%,3.69%,0.00%,0.00%,25.00%,7.01%,1.05%,1.41%,0.87%,0.00%,0.00%,0.00%,1.90%,0.00%,0.22%,245,0,0,5,190,10,35,200,0,0,5,150,5,35,45,0,0,0,40,0,5
JACKSON COUNTY,AL,0101830,0.00%,0.00%,,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JACKSONVILLE CITY,AL,0101860,0.00%,,0.00%,,0.00%,,0.00%,0.00%,,0.00%,,0.00%,,0.00%,0.00%,,0.00%,,0.00%,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
