district_name,state,district_id,rate_all,rate_ind,rate_asian,rate_pacis,rate_black,rate_latino,rate_white,m_rate_all,m_rate_ind,m_rate_asian,m_rate_pacis,m_rate_black,m_rate_latino,m_rate_white,f_rate_all,f_rate_ind,f_rate_asian,f_rate_pacis,f_rate_black,f_rate_latino,f_rate_white,cnt_all,cnt_ind,cnt_asian,cnt_pacis,cnt_black,cnt_latino,cnt_white,m_cnt_all,m_cnt_ind,m_cnt_asian,m_cnt_pacis,m_cnt_black,m_cnt_latino,m_cnt_white,f_cnt_all,f_cnt_ind,f_cnt_asian,f_cnt_pacis,f_cnt_black,f_cnt_latino,f_cnt_white
BRUNSWICK CENTRAL SCHOOL DISTRICT (BRITTONKILL),NY,3605520,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRUSHTON-MOIRA CENTRAL SCHOOL DISTRICT,NY,3605820,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,,,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUFFALO CITY SCHOOL DISTRICT,NY,3605850,6.61%,0.00%,1.30%,0.00%,8.97%,3.37%,3.16%,9.22%,0.00%,0.00%,,12.58%,4.88%,4.65%,3.84%,0.00%,0.00%,,5.15%,2.08%,1.39%,320,0,5,0,270,15,25,230,0,0,0,195,10,20,90,0,0,0,75,5,5
BURNT HILLS-BALLSTON LAKE CENTRAL SCHOOL DISTRICT,NY,3605940,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHWICK ASCEND CHARTER SCHOOL,NY,3601017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYRAM HILLS CENTRAL SCHOOL DISTRICT,NY,3606060,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BYRON-BERGEN CENTRAL SCHOOL DISTRICT,NY,3606090,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAIRO-DURHAM CENTRAL SCHOOL DISTRICT,NY,3606160,1.79%,,0.00%,,0.00%,0.00%,2.17%,3.39%,,0.00%,,0.00%,0.00%,4.17%,0.00%,,,,0.00%,0.00%,0.00%,10,0,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0
CALEDONIA-MUMFORD CENTRAL SCHOOL DISTRICT,NY,3606180,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMBRIDGE CENTRAL SCHOOL DISTRICT,NY,3606210,0.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,0.00%,0.00%,,,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMDEN CENTRAL SCHOOL DISTRICT,NY,3606240,1.44%,,0.00%,,0.00%,0.00%,1.49%,1.87%,,,,0.00%,0.00%,1.92%,0.99%,,0.00%,,,0.00%,1.03%,15,0,0,0,0,0,15,10,0,0,0,0,0,10,5,0,0,0,0,0,5
CAMPBELL-SAVONA CENTRAL SCHOOL DISTRICT,NY,3600020,1.04%,,,,,,1.05%,2.17%,,,,,,2.17%,0.00%,,,,,,0.00%,5,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0
CANAJOHARIE CENTRAL SCHOOL DISTRICT,NY,3606300,0.00%,,,,,,0.00%,0.00%,,,,,,0.00%,0.00%,,,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANANDAIGUA CITY SCHOOL DISTRICT,NY,3606330,0.29%,0.00%,0.00%,,0.00%,0.00%,0.33%,0.56%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CANASTOTA CENTRAL SCHOOL DISTRICT,NY,3606390,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANISTEO-GREENWOOD CSD,NY,3600124,1.19%,,0.00%,,,0.00%,1.25%,2.22%,,,,,,2.33%,0.00%,,0.00%,,,0.00%,0.00%,5,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0
CANTON CENTRAL SCHOOL DISTRICT,NY,3606470,0.00%,,,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,0.00%,,,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPITAL REGION BOCES,NY,3680100,28.57%,,,,25.00%,,33.33%,28.57%,,,,33.33%,,33.33%,0.00%,,,,,,,10,0,0,0,5,0,5,10,0,0,0,5,0,5,0,0,0,0,0,0,0
CARLE PLACE UNION FREE SCHOOL DISTRICT,NY,3606540,0.68%,,0.00%,,50.00%,0.00%,0.00%,1.30%,,0.00%,,100.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,5,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0
CARMEL CENTRAL SCHOOL DISTRICT,NY,3606570,0.31%,,0.00%,,0.00%,1.59%,0.42%,0.61%,,0.00%,,0.00%,3.23%,0.81%,0.00%,,0.00%,,0.00%,0.00%,0.00%,5,0,0,0,0,5,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0
CARTHAGE CENTRAL SCHOOL DISTRICT,NY,3606630,0.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.46%,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.88%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,5,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0
CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,NY,3606660,0.00%,,,,0.00%,,0.00%,0.00%,,,,0.00%,,0.00%,0.00%,,,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CATO-MERIDIAN CENTRAL SCHOOL DISTRICT,NY,3606690,1.19%,0.00%,,,0.00%,0.00%,1.32%,2.33%,0.00%,,,0.00%,0.00%,2.56%,0.00%,0.00%,,,0.00%,0.00%,0.00%,5,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0
CATSKILL CENTRAL SCHOOL DISTRICT,NY,3606720,2.33%,0.00%,0.00%,,5.00%,5.56%,2.44%,4.49%,0.00%,0.00%,,8.33%,11.11%,3.28%,1.20%,,0.00%,,0.00%,0.00%,1.61%,20,0,0,0,5,5,15,20,0,0,0,5,5,10,5,0,0,0,0,0,5
CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,NY,3600024,1.22%,0.00%,,,0.00%,0.00%,1.30%,2.27%,,,,0.00%,0.00%,2.44%,0.00%,0.00%,,,,0.00%,0.00%,5,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0
CAZENOVIA CENTRAL SCHOOL DISTRICT,NY,3606780,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTER MORICHES UNION FREE SCHOOL DISTRICT,NY,3606840,1.42%,0.00%,0.00%,,0.00%,0.00%,0.89%,1.37%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,10,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL ISLIP UNION FREE SCHOOL DISTRICT,NY,3606870,4.63%,0.00%,6.25%,0.00%,10.49%,2.76%,5.71%,6.44%,,0.00%,,13.58%,4.24%,11.11%,2.67%,0.00%,0.00%,,6.17%,1.15%,0.00%,180,0,5,0,85,75,10,130,0,0,0,55,60,10,50,0,0,0,25,15,0
CENTRAL SQUARE CENTRAL SCHOOL DISTRICT,NY,3606900,0.74%,0.00%,0.00%,,0.00%,0.00%,0.52%,0.96%,0.00%,0.00%,,0.00%,0.00%,1.00%,0.51%,,0.00%,,0.00%,0.00%,0.53%,15,0,0,0,0,0,10,10,0,0,0,0,0,10,5,0,0,0,0,0,5
CHALLENGE PREPARATORY CHARTER SCHOOL,NY,3601018,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHAPPAQUA CENTRAL SCHOOL DISTRICT,NY,3606990,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHATEAUGAY CENTRAL SCHOOL DISTRICT,NY,3607080,0.00%,,,,,,0.00%,0.00%,,,,,,0.00%,0.00%,,,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHATHAM CENTRAL SCHOOL DISTRICT,NY,3607110,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,NY,3600018,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,,0.00%,0.00%,,,,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHAZY UNION FREE SCHOOL DISTRICT,NY,3607170,0.00%,,,,,,0.00%,0.00%,,,,,,0.00%,0.00%,,,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEEKTOWAGA CENTRAL SCHOOL DISTRICT,NY,3607230,1.21%,0.00%,0.00%,,1.96%,0.00%,1.16%,2.35%,0.00%,0.00%,,3.85%,0.00%,2.27%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,10,0,0,0,5,0,5,10,0,0,0,5,0,5,0,0,0,0,0,0,0
CHEEKTOWAGA-MARYVALE UNION FREE SCHOOL DISTRICT,NY,3618600,1.94%,0.00%,0.00%,,6.67%,0.00%,2.34%,3.88%,,0.00%,,14.29%,0.00%,3.45%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,20,0,0,0,5,0,20,20,0,0,0,5,0,15,0,0,0,0,0,0,0
CHEEKTOWAGA-SLOAN UNION FREE SCHOOL DISTRICT,NY,3627000,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHENANGO FORKS CENTRAL SCHOOL DISTRICT,NY,3607260,1.37%,,,,0.00%,0.00%,0.72%,2.60%,,,,0.00%,0.00%,1.37%,0.00%,,,,0.00%,0.00%,0.00%,10,0,0,0,0,0,5,10,0,0,0,0,0,5,0,0,0,0,0,0,0
CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,NY,3607290,0.51%,,0.00%,,0.00%,0.00%,0.55%,1.01%,,0.00%,,0.00%,0.00%,1.12%,0.00%,,0.00%,,0.00%,0.00%,0.00%,5,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0
CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL DISTRICT,NY,3600006,0.00%,,,,0.00%,,0.00%,0.00%,,,,,,0.00%,0.00%,,,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHESTER UNION FREE SCHOOL DISTRICT,NY,3607380,1.11%,,0.00%,,0.00%,0.00%,2.08%,2.27%,,0.00%,,0.00%,0.00%,4.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,5,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0
CHILD DEVELOPMENT CENTER OF THE HAMPTONS CHARTER SCHOOL,NY,3600044,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHITTENANGO CENTRAL SCHOOL DISTRICT,NY,3607470,1.11%,0.00%,0.00%,,0.00%,0.00%,1.18%,2.15%,,,,0.00%,0.00%,2.33%,0.00%,,,,0.00%,0.00%,0.00%,10,0,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0
CHURCHVILLE-CHILI CENTRAL SCHOOL DISTRICT,NY,3607530,0.35%,,0.00%,,0.00%,0.00%,0.40%,0.65%,,0.00%,,0.00%,0.00%,0.76%,0.00%,,0.00%,,0.00%,0.00%,0.00%,5,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0
CINCINNATUS CENTRAL SCHOOL DISTRICT,NY,3607560,3.57%,,,,,0.00%,3.64%,7.14%,,,,,0.00%,7.41%,0.00%,,,,,,0.00%,10,0,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0
CLARENCE CENTRAL SCHOOL DISTRICT,NY,3607590,0.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.26%,0.48%,,0.00%,,0.00%,0.00%,0.52%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,5,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0
CLARKSTOWN CENTRAL SCHOOL DISTRICT,NY,3620340,0.43%,0.00%,0.00%,0.00%,0.00%,1.05%,0.40%,0.82%,0.00%,0.00%,0.00%,0.00%,2.13%,0.76%,0.00%,,0.00%,,0.00%,0.00%,0.00%,15,0,0,0,0,5,10,15,0,0,0,0,5,10,0,0,0,0,0,0,0
